Date,Open,High,Low,Close,Volume
3-Mar-03,7890.24,7997.66,7809.05,7837.86,12089000
28-Feb-03,7886.11,7987.80,7826.72,7891.08,13733000
27-Feb-03,7807.96,7950.46,7774.34,7884.99,12878000
26-Feb-03,7907.39,7944.93,7767.62,7806.98,13744000
25-Feb-03,7856.42,7931.14,7700.53,7909.50,14837000
24-Feb-03,8017.34,8017.34,7828.06,7858.24,12292000
21-Feb-03,7915.52,8055.79,7843.81,8018.11,13982000
20-Feb-03,8002.70,8051.37,7858.24,7914.96,11941000
19-Feb-03,8033.80,8079.11,7913.70,8000.60,10756000
18-Feb-03,7909.30,8114.82,7909.30,8041.15,12508000
14-Feb-03,7750.90,7936.56,7704.96,7908.80,14046000
13-Feb-03,7756.55,7817.88,7602.81,7749.87,14893000
12-Feb-03,7836.36,7892.96,7720.39,7758.17,12605000
11-Feb-03,7920.93,8010.89,7798.69,7843.11,13070000
10-Feb-03,7865.74,7963.03,7777.98,7920.11,12382000
7-Feb-03,7932.45,8019.46,7811.10,7864.23,12768000
6-Feb-03,7981.95,8031.66,7855.87,7929.30,14309000
5-Feb-03,8014.45,8162.96,7950.42,7985.18,14508000
4-Feb-03,8104.61,8104.61,7915.93,8013.29,14516000
3-Feb-03,8053.74,8189.35,8032.90,8109.82,12585000
31-Jan-03,7939.72,8121.37,7884.66,8053.81,15785300
30-Jan-03,8109.14,8169.81,7918.19,7945.13,15103000
29-Jan-03,8087.95,8173.31,7916.89,8110.71,15954000
28-Jan-03,7991.07,8153.36,7954.95,8088.84,14591000
27-Jan-03,8128.54,8167.41,7929.16,7989.56,14359000
24-Jan-03,8367.89,8367.89,8092.00,8131.01,15748000
23-Jan-03,8320.72,8437.69,8215.61,8369.47,17445500
22-Jan-03,8439.54,8493.50,8270.94,8318.73,15608000
21-Jan-03,8586.26,8650.43,8421.03,8442.90,13352000
17-Jan-03,8695.82,8695.82,8523.60,8586.74,13582000
16-Jan-03,8721.12,8837.47,8634.46,8697.87,15346000
15-Jan-03,8843.64,8865.65,8674.43,8723.18,14321000
14-Jan-03,8787.22,8865.41,8717.56,8842.62,13794000
13-Jan-03,8787.83,8896.09,8721.12,8785.98,13963000
10-Jan-03,8776.04,8846.25,8654.21,8784.89,14854000
9-Jan-03,8596.68,8814.09,8596.68,8776.18,15603000
8-Jan-03,8735.93,8749.44,8549.72,8595.31,14676000
7-Jan-03,8775.84,8843.37,8661.20,8740.59,15452000
6-Jan-03,8602.78,8826.71,8578.86,8773.57,14359000
3-Jan-03,8607.38,8669.91,8503.71,8601.69,11308000
2-Jan-03,8342.38,8633.02,8342.38,8607.52,12292000
31-Dec-02,8332.24,8400.46,8216.44,8341.63,10885000
30-Dec-02,8304.06,8405.67,8214.93,8332.85,10578000
27-Dec-02,8429.28,8470.05,8272.31,8303.78,7584000
26-Dec-02,8448.86,8587.98,8392.23,8432.61,7211000
24-Dec-02,8491.99,8522.98,8407.45,8448.11,4583100
23-Dec-02,8511.39,8573.92,8418.90,8493.29,11121000
20-Dec-02,8367.41,8557.47,8367.41,8511.32,17827300
19-Dec-02,8441.94,8530.25,8302.41,8364.80,13859000
18-Dec-02,8531.31,8553.76,8367.89,8447.35,14462000
17-Dec-02,8626.99,8672.38,8495.21,8535.39,12518000
16-Dec-02,8436.59,8649.06,8421.58,8627.40,12716000
13-Dec-02,8536.07,8563.16,8374.68,8433.71,13308000
12-Dec-02,8590.99,8662.71,8466.21,8538.40,12553000
11-Dec-02,8571.52,8669.91,8452.84,8589.14,12851000
10-Dec-02,8473.61,8624.93,8419.86,8574.26,12866000
9-Dec-02,8643.99,8643.99,8438.24,8473.41,13208000
6-Dec-02,8620.88,8707.21,8469.16,8645.77,12411000
5-Dec-02,8740.66,8796.68,8572.00,8623.28,12502000
4-Dec-02,8734.22,8834.04,8600.93,8737.85,15889000
3-Dec-02,8861.13,8882.04,8649.89,8742.93,14884000
2-Dec-02,8902.95,9076.35,8757.60,8862.57,16120000
29-Nov-02,8933.67,8995.78,8847.42,8896.09,6434600
27-Nov-02,8678.96,8975.08,8678.96,8931.68,13503000
26-Nov-02,8844.12,8845.01,8634.53,8676.42,15436000
25-Nov-02,8804.97,8918.03,8717.63,8849.40,15740000
22-Nov-02,8842.41,8944.16,8732.23,8804.84,16268000
21-Nov-02,8625.48,8910.83,8619.58,8845.15,24151000
20-Nov-02,8469.57,8675.12,8402.72,8623.01,15173000
19-Nov-02,8484.93,8566.45,8355.62,8474.78,13374000
18-Nov-02,8579.74,8671.41,8444.26,8486.57,12826000
15-Nov-02,8535.64,8622.30,8421.10,8579.09,14001000
14-Nov-02,8403.69,8596.50,8396.27,8542.13,14881000
13-Nov-02,8380.32,8523.47,8237.65,8398.49,14634000
12-Nov-02,8356.73,8557.25,8286.13,8386.00,13771000
11-Nov-02,8535.81,8541.09,8315.40,8358.95,11130000
8-Nov-02,8585.75,8688.96,8455.01,8537.13,14465000
7-Nov-02,8766.08,8766.08,8517.78,8586.24,14669000
6-Nov-02,8677.17,8841.61,8561.48,8771.01,16237000
5-Nov-02,8568.76,8730.92,8497.60,8678.27,13541000
4-Nov-02,8521.60,8787.30,8510.08,8571.60,16459000
1-Nov-02,8395.64,8569.24,8271.77,8517.64,14504000
