Date,Open,High,Low,Close,Volume
31-Jan-03,1752.14,1775.96,1743.20,1773.09,0
30-Jan-03,1768.14,1780.19,1760.08,1772.40,0
29-Jan-03,1701.74,1725.76,1700.50,1720.73,0
28-Jan-03,1705.85,1723.86,1701.58,1709.42,0
27-Jan-03,1714.89,1753.74,1707.35,1711.61,0
23-Jan-03,1809.57,1825.23,1788.72,1789.63,0
22-Jan-03,1793.02,1822.22,1785.62,1802.15,0
21-Jan-03,1844.69,1863.61,1836.90,1839.70,0
17-Jan-03,1909.28,1910.04,1891.99,1892.09,0
16-Jan-03,1940.59,1948.82,1932.74,1935.86,0
15-Jan-03,1964.82,1969.34,1937.61,1942.87,0
14-Jan-03,1972.72,1974.67,1954.70,1970.07,0
13-Jan-03,1984.98,1987.74,1952.26,1962.96,0
10-Jan-03,1980.46,1983.67,1936.30,1962.90,0
9-Jan-03,1925.98,1958.86,1924.31,1957.07,0
8-Jan-03,1962.38,1965.28,1944.37,1951.41,0
7-Jan-03,1984.58,1989.72,1955.41,1969.95,0
6-Jan-03,1962.15,1988.02,1960.47,1986.10,0
3-Jan-03,1982.31,1991.88,1971.37,1980.33,0
2-Jan-03,1930.61,1968.77,1924.58,1967.35,0
31-Dec-02,1911.07,1912.91,1905.23,1909.40,0
30-Dec-02,1892.13,1900.34,1885.79,1892.45,0
27-Dec-02,1912.46,1913.06,1882.03,1882.60,0
26-Dec-02,1945.27,1945.27,1945.27,1945.27,0
24-Dec-02,1945.88,1946.40,1941.95,1945.27,0
23-Dec-02,1931.69,1945.38,1931.14,1945.38,0
20-Dec-02,1927.43,1934.45,1910.56,1934.21,0
19-Dec-02,1919.98,1935.00,1891.93,1912.84,0
18-Dec-02,1954.71,1959.04,1921.57,1924.76,0
17-Dec-02,1976.67,1988.59,1959.06,1963.66,0
16-Dec-02,1960.45,1994.21,1951.72,1990.63,0
13-Dec-02,1923.15,1937.18,1911.33,1929.12,0
12-Dec-02,1953.18,1971.36,1948.57,1960.33,0
11-Dec-02,1986.03,1992.14,1971.46,1989.34,0
10-Dec-02,1966.19,1972.93,1952.46,1964.45,0
9-Dec-02,1978.10,1990.60,1962.11,1962.86,0
6-Dec-02,1989.40,2006.05,1962.74,2002.50,0
5-Dec-02,2063.44,2070.66,2003.58,2009.67,0
4-Dec-02,2034.29,2043.78,2021.11,2036.06,0
3-Dec-02,2082.15,2085.19,2047.24,2047.24,0
2-Dec-02,2130.62,2139.14,2090.44,2093.59,0
29-Nov-02,2101.69,2108.28,2089.10,2095.87,0
27-Nov-02,2049.96,2093.21,2048.65,2090.03,0
26-Nov-02,2072.30,2079.27,2037.97,2042.40,0
25-Nov-02,2093.71,2098.40,2079.88,2086.04,0
22-Nov-02,2096.50,2108.86,2090.00,2104.07,0
21-Nov-02,2073.41,2100.82,2067.75,2099.72,0
20-Nov-02,2018.75,2037.52,2010.82,2029.03,0
19-Nov-02,2032.95,2037.50,2021.80,2032.98,0
18-Nov-02,2057.72,2063.60,2039.27,2041.11,0
15-Nov-02,2029.14,2036.33,2009.08,2019.12,0
14-Nov-02,1987.09,2016.88,1979.27,2011.59,0
13-Nov-02,1960.51,1972.10,1936.87,1972.10,0
12-Nov-02,1970.24,1988.94,1958.50,1982.87,0
11-Nov-02,1950.79,1965.60,1943.34,1957.67,0
8-Nov-02,1984.67,1993.56,1959.45,1968.70,0
7-Nov-02,2025.48,2025.48,1985.87,1988.55,0
6-Nov-02,2063.97,2063.97,2029.58,2035.69,0
5-Nov-02,2021.97,2065.32,2019.72,2060.90,0
4-Nov-02,2031.63,2050.91,2028.78,2044.21,0
1-Nov-02,1961.77,1986.30,1953.54,1974.04,0
31-Oct-02,1990.78,2015.53,1980.66,1999.59,0
30-Oct-02,1985.54,1985.54,1957.51,1976.01,0
29-Oct-02,1985.54,1985.54,1985.54,1985.54,0
28-Oct-02,1985.54,1985.54,1985.54,1985.54,0
25-Oct-02,1979.21,1997.48,1965.67,1985.54,0
24-Oct-02,1978.24,2007.31,1977.27,1993.71,0
23-Oct-02,1959.38,1986.39,1946.43,1947.81,0
22-Oct-02,2020.68,2032.22,2008.34,2017.26,0
21-Oct-02,2031.83,2031.86,2004.83,2020.41,0
18-Oct-02,2001.52,2046.45,1992.95,2030.60,0
17-Oct-02,2045.71,2059.42,2018.22,2039.90,0
16-Oct-02,1990.23,1993.78,1963.26,1977.76,0
15-Oct-02,1980.89,2009.43,1975.13,2004.67,0
14-Oct-02,1897.72,1905.33,1877.60,1891.46,0
11-Oct-02,1881.51,1904.70,1873.76,1899.28,0
10-Oct-02,1760.29,1818.06,1745.30,1815.11,0
9-Oct-02,1766.46,1773.80,1742.92,1766.79,0
8-Oct-02,1810.68,1825.24,1770.90,1775.57,0
7-Oct-02,1812.40,1830.15,1801.78,1807.30,0
4-Oct-02,1843.20,1868.17,1822.70,1827.58,0
3-Oct-02,1890.86,1929.90,1879.06,1882.67,0
2-Oct-02,1887.27,1906.59,1861.69,1906.59,0
1-Oct-02,1833.96,1841.43,1809.23,1837.36,0
30-Sep-02,1815.44,1820.95,1770.45,1789.81,0
