Date,Open,High,Low,Close,Volume
3-Mar-03,9141.46,9316.27,9141.46,9268.77,213816000
28-Feb-03,9146.63,9185.81,9111.17,9122.66,149296400
27-Feb-03,9072.87,9175.32,9029.95,9134.24,189162400
26-Feb-03,9156.80,9163.33,9097.49,9116.28,129927000
25-Feb-03,9140.06,9154.42,9103.29,9148.48,188640600
24-Feb-03,9302.73,9313.81,9231.01,9239.47,119645600
21-Feb-03,9361.05,9364.83,9231.37,9250.86,175479200
20-Feb-03,9415.21,9460.89,9381.14,9390.48,157138600
19-Feb-03,9461.13,9463.99,9389.40,9427.63,171202200
18-Feb-03,9367.94,9417.70,9342.05,9397.05,123444800
17-Feb-03,9311.65,9392.86,9311.65,9383.68,193064000
14-Feb-03,9201.11,9253.87,9191.01,9201.76,127095400
13-Feb-03,9273.38,9283.23,9142.94,9173.43,182251200
12-Feb-03,9169.86,9334.90,9162.52,9314.90,173360400
11-Feb-03,9237.19,9285.06,9151.22,9194.91,201740000
10-Feb-03,9135.10,9232.14,9131.62,9232.14,145628000
7-Feb-03,9099.41,9163.67,9072.67,9150.95,153250800
6-Feb-03,9178.26,9184.76,9094.86,9126.15,191530600
5-Feb-03,9214.64,9238.92,9156.31,9180.47,156418400
4-Feb-03,9327.32,9331.95,9208.23,9252.71,157056000
30-Jan-03,9251.94,9266.15,9179.24,9258.95,151874200
29-Jan-03,9272.28,9281.99,9203.68,9240.79,179591200
28-Jan-03,9244.30,9341.11,9237.45,9325.60,132839200
27-Jan-03,9326.76,9326.76,9253.36,9298.67,192059400
24-Jan-03,9558.48,9575.27,9416.12,9460.60,220192000
23-Jan-03,9513.58,9606.87,9513.58,9584.70,143682000
22-Jan-03,9484.89,9581.24,9456.66,9560.29,177654800
21-Jan-03,9558.20,9595.26,9548.14,9568.47,142951600
20-Jan-03,9551.56,9560.39,9501.52,9552.02,176223000
17-Jan-03,9730.55,9733.44,9597.23,9614.59,171659400
16-Jan-03,9798.16,9823.63,9727.30,9743.23,189955000
15-Jan-03,9807.43,9892.70,9807.43,9873.49,215218800
14-Jan-03,9812.91,9843.81,9780.54,9796.31,168152000
13-Jan-03,9752.30,9834.08,9752.30,9834.08,197967600
10-Jan-03,9711.76,9778.28,9688.99,9721.50,172862200
9-Jan-03,9626.14,9677.59,9599.24,9675.41,129623200
8-Jan-03,9632.36,9781.08,9624.04,9688.21,202439200
7-Jan-03,9710.79,9710.79,9592.29,9652.40,267021800
6-Jan-03,9605.09,9683.86,9560.82,9665.96,234912800
3-Jan-03,9523.25,9585.66,9520.85,9583.85,291454400
2-Jan-03,9333.64,9378.35,9294.53,9365.52,126907400
31-Dec-02,9298.78,9332.02,9291.77,9321.29,76193400
30-Dec-02,9345.67,9362.70,9244.90,9272.33,220730400
27-Dec-02,9542.49,9550.59,9426.06,9445.26,137671200
24-Dec-02,9586.26,9593.93,9554.31,9561.63,103219200
23-Dec-02,9640.92,9640.92,9552.07,9570.93,226114000
20-Dec-02,9499.77,9631.53,9478.92,9628.69,225083200
19-Dec-02,9544.90,9590.21,9477.82,9557.86,263977400
18-Dec-02,9652.77,9657.45,9527.49,9548.65,232401400
17-Dec-02,9787.24,9787.64,9682.02,9715.74,225197800
16-Dec-02,9644.64,9677.85,9627.71,9656.46,150167600
13-Dec-02,9743.19,9754.86,9695.74,9728.43,194733600
12-Dec-02,9816.99,9852.57,9772.80,9813.78,167642000
11-Dec-02,9874.93,9884.16,9742.00,9784.57,304184600
10-Dec-02,9763.79,9868.74,9763.79,9857.99,398318000
9-Dec-02,9988.69,9999.39,9821.56,9868.48,528145400
6-Dec-02,9940.60,9978.85,9890.62,9973.75,201891600
5-Dec-02,9997.62,10036.52,9940.25,10009.88,177262400
4-Dec-02,10123.26,10123.26,9941.93,9995.73,400244000
3-Dec-02,10187.85,10246.86,10179.64,10227.01,288807600
2-Dec-02,10107.96,10205.16,10079.51,10205.16,320709200
29-Nov-02,10170.30,10170.30,10061.89,10069.87,324384000
28-Nov-02,10090.43,10168.91,10082.69,10147.84,417455000
27-Nov-02,9912.84,10013.65,9912.02,9944.59,298967400
26-Nov-02,10052.44,10057.76,9976.45,9995.52,225905200
25-Nov-02,10031.33,10118.87,10028.98,10100.77,246009200
22-Nov-02,10112.51,10128.69,10038.01,10065.32,205486600
21-Nov-02,10081.02,10081.02,9989.79,10003.54,214189400
20-Nov-02,9952.45,10011.53,9947.54,9971.15,189936400
19-Nov-02,9882.39,9996.89,9856.95,9965.03,236917600
18-Nov-02,9994.29,10006.07,9843.09,9920.09,250304400
15-Nov-02,9721.86,9885.98,9721.86,9865.65,424897800
14-Nov-02,9644.21,9806.08,9644.21,9740.84,345678000
13-Nov-02,9645.88,9645.88,9533.50,9616.62,200873600
12-Nov-02,9530.46,9650.09,9522.45,9613.84,228389400
11-Nov-02,9699.75,9699.75,9527.83,9580.88,264728400
8-Nov-02,9714.19,9796.47,9708.19,9770.68,313337800
7-Nov-02,9758.66,9880.13,9719.64,9844.38,335469600
6-Nov-02,9788.31,9822.07,9751.68,9773.98,254543000
5-Nov-02,9751.93,9751.93,9606.68,9655.36,193967000
4-Nov-02,9587.97,9739.13,9565.79,9720.83,213267400
1-Nov-02,9467.89,9495.15,9388.35,9407.68,199148800
31-Oct-02,9609.16,9625.72,9418.88,9441.25,174789400
30-Oct-02,9605.64,9652.15,9546.58,9560.46,212661200
29-Oct-02,9799.87,9812.15,9626.99,9634.67,198923400
28-Oct-02,9732.60,9860.87,9730.00,9853.74,208841600
25-Oct-02,9715.67,9728.56,9655.00,9722.54,201148600
24-Oct-02,9774.78,9803.30,9712.90,9787.49,300341400
23-Oct-02,9545.66,9809.51,9545.66,9804.65,398447800
22-Oct-02,9633.51,9656.90,9507.99,9548.94,195717200
21-Oct-02,9593.65,9641.08,9549.09,9570.36,186206800
18-Oct-02,9741.05,9744.64,9603.73,9613.07,426663600
17-Oct-02,9465.61,9598.49,9465.61,9576.15,268242600
16-Oct-02,9515.07,9515.07,9416.82,9459.14,341481400
15-Oct-02,9153.25,9348.68,9131.41,9336.39,403547600
11-Oct-02,8956.33,8990.76,8863.46,8965.73,221067800
10-Oct-02,8808.35,8863.46,8772.48,8858.69,244729400
9-Oct-02,8945.96,8986.01,8876.62,8977.35,222983800
8-Oct-02,8910.08,8989.68,8883.16,8977.41,247068200
7-Oct-02,8844.69,8936.34,8844.11,8931.40,240968000
4-Oct-02,8989.65,9065.52,8971.92,9051.37,236714600
3-Oct-02,9054.57,9106.90,8915.00,8984.32,263433200
2-Oct-02,9227.38,9241.86,9062.49,9109.35,282008800
30-Sep-02,9098.93,9125.93,9046.96,9072.21,221724000
27-Sep-02,9338.66,9368.14,9245.88,9294.46,207134800
26-Sep-02,9251.24,9286.27,9206.90,9270.71,171300600
25-Sep-02,9076.83,9193.81,9014.58,9124.91,205115200
24-Sep-02,9167.76,9213.28,9141.12,9197.68,173091000
23-Sep-02,9295.69,9322.36,9219.08,9314.87,141863400
20-Sep-02,9260.47,9337.86,9210.94,9328.22,220920600
19-Sep-02,9485.55,9511.29,9389.87,9427.79,186647200
18-Sep-02,9517.42,9517.42,9401.49,9474.07,224988400
17-Sep-02,9605.32,9732.33,9563.19,9707.25,296911600
16-Sep-02,9624.84,9639.47,9454.92,9505.13,322838600
13-Sep-02,9773.62,9784.00,9609.77,9650.97,283806000
