Date,Open,High,Low,Close,Volume
3-Mar-03,1344.21,1353.31,1316.85,1320.29,12534900
28-Feb-03,1327.87,1342.73,1325.15,1337.52,13543700
27-Feb-03,1312.13,1331.79,1305.56,1323.94,12381100
26-Feb-03,1323.01,1331.47,1302.83,1303.68,12070900
25-Feb-03,1307.39,1331.35,1291.96,1328.98,13959600
24-Feb-03,1342.50,1343.09,1321.44,1322.38,12224800
21-Feb-03,1331.33,1352.07,1316.04,1349.02,13424400
20-Feb-03,1339.70,1344.29,1329.09,1331.23,13204100
19-Feb-03,1343.37,1344.59,1322.12,1334.32,11797000
18-Feb-03,1319.99,1346.92,1319.52,1346.54,13039300
14-Feb-03,1283.41,1310.37,1279.66,1310.17,13154100
13-Feb-03,1280.92,1281.32,1261.79,1277.44,13104400
12-Feb-03,1292.08,1301.11,1278.74,1278.97,12310700
11-Feb-03,1301.54,1315.04,1285.77,1295.46,12961900
10-Feb-03,1286.51,1298.57,1275.19,1296.68,12164400
7-Feb-03,1310.92,1314.52,1278.54,1282.47,12288500
6-Feb-03,1298.70,1310.51,1291.47,1301.73,12193200
5-Feb-03,1314.67,1332.82,1299.35,1301.50,13671300
4-Feb-03,1310.48,1310.48,1292.20,1306.15,13681500
3-Feb-03,1324.74,1335.76,1318.00,1323.79,12565500
31-Jan-03,1308.10,1331.04,1303.64,1320.91,15548100
30-Jan-03,1360.55,1363.08,1322.06,1322.35,14461300
29-Jan-03,1335.90,1363.31,1320.35,1358.06,15075900
28-Jan-03,1335.43,1346.50,1321.44,1342.18,14066600
27-Jan-03,1329.81,1349.83,1320.32,1325.27,14403000
24-Jan-03,1382.35,1382.35,1340.22,1342.14,15683500
23-Jan-03,1377.50,1393.67,1365.11,1388.27,15665100
22-Jan-03,1361.01,1379.61,1358.23,1359.48,14775200
21-Jan-03,1380.43,1386.71,1364.25,1364.25,13554100
17-Jan-03,1401.37,1401.37,1376.18,1376.19,14338400
16-Jan-03,1440.56,1449.13,1420.11,1423.75,13665500
15-Jan-03,1461.04,1463.99,1435.29,1438.80,15130800
14-Jan-03,1445.07,1461.12,1442.63,1460.99,13293400
13-Jan-03,1461.73,1467.35,1436.98,1446.04,13760400
10-Jan-03,1423.62,1457.45,1418.79,1447.72,16523200
9-Jan-03,1414.47,1445.09,1414.47,1438.46,16859900
8-Jan-03,1423.29,1424.12,1399.06,1401.07,14570100
7-Jan-03,1424.26,1442.26,1416.23,1431.57,17557600
6-Jan-03,1390.19,1428.65,1390.09,1421.32,15676900
