Date,Open,High,Low,Close,Volume
3-Mar-03,8397.15,8490.40,8357.42,8490.40,465136400
28-Feb-03,8429.98,8448.78,8332.41,8363.04,496882000
27-Feb-03,8344.08,8377.61,8266.97,8359.38,502866000
26-Feb-03,8327.46,8429.17,8327.46,8356.81,408184400
25-Feb-03,8475.55,8481.23,8324.70,8360.49,495549600
24-Feb-03,8503.98,8606.58,8489.03,8564.95,374840800
21-Feb-03,8652.68,8685.42,8506.83,8513.54,456682200
20-Feb-03,8626.44,8650.92,8575.66,8650.92,441357000
19-Feb-03,8756.61,8772.95,8667.17,8678.44,540626400
18-Feb-03,8775.38,8794.40,8674.38,8692.97,611585200
17-Feb-03,8765.69,8821.31,8731.96,8771.89,628536200
14-Feb-03,8627.00,8771.63,8613.73,8701.92,714486200
13-Feb-03,8644.85,8672.99,8550.48,8599.66,540752800
12-Feb-03,8514.78,8676.53,8514.78,8664.17,658504600
10-Feb-03,8427.30,8502.36,8427.30,8484.93,376913800
7-Feb-03,8482.74,8517.45,8422.67,8448.16,383372800
6-Feb-03,8562.28,8595.23,8451.20,8484.19,484900600
5-Feb-03,8425.19,8574.42,8423.93,8549.85,553701000
4-Feb-03,8555.73,8579.41,8484.90,8484.90,596242200
3-Feb-03,8285.55,8511.87,8253.76,8500.79,506553400
31-Jan-03,8291.95,8348.07,8237.03,8339.94,583234200
30-Jan-03,8364.90,8407.15,8312.41,8316.81,536095600
29-Jan-03,8529.67,8529.67,8304.05,8331.08,540654000
28-Jan-03,8531.53,8582.93,8511.14,8525.39,508021200
27-Jan-03,8656.50,8690.13,8588.63,8609.47,504887600
24-Jan-03,8779.44,8825.67,8701.32,8731.65,773407200
23-Jan-03,8648.60,8794.97,8562.19,8790.92,796891800
22-Jan-03,8680.57,8708.54,8568.66,8611.04,696631200
21-Jan-03,8562.11,8755.35,8528.81,8708.58,641889600
20-Jan-03,8639.04,8657.79,8495.00,8558.82,645672800
17-Jan-03,8566.81,8732.85,8562.13,8690.25,648807800
16-Jan-03,8572.66,8619.84,8536.11,8609.17,591225600
15-Jan-03,8564.17,8612.13,8475.04,8611.75,597795400
14-Jan-03,8512.82,8569.80,8451.70,8553.06,462942600
10-Jan-03,8563.38,8569.85,8378.18,8470.45,495221600
9-Jan-03,8440.32,8498.03,8400.59,8497.93,394982400
8-Jan-03,8614.41,8614.41,8491.49,8517.80,380133400
7-Jan-03,8810.74,8829.06,8654.52,8656.50,480549800
6-Jan-03,8669.89,8761.78,8669.89,8713.33,232615000
30-Dec-02,8617.65,8617.65,8543.70,8578.95,168062800
27-Dec-02,8686.50,8714.05,8630.82,8714.05,326003800
26-Dec-02,8575.58,8706.48,8572.72,8700.10,292922400
25-Dec-02,8502.11,8527.73,8455.63,8501.14,328678000
24-Dec-02,8434.26,8556.58,8389.49,8512.37,510317800
20-Dec-02,8408.38,8421.91,8305.80,8406.88,493461400
19-Dec-02,8312.30,8411.76,8256.52,8387.57,483763400
18-Dec-02,8468.43,8489.53,8310.42,8344.01,437482000
17-Dec-02,8525.15,8583.68,8487.20,8510.73,464156000
16-Dec-02,8499.09,8570.43,8416.20,8450.94,445362800
13-Dec-02,8694.23,8694.23,8496.29,8516.07,885691800
12-Dec-02,8742.63,8754.81,8682.98,8708.69,363620600
11-Dec-02,8855.87,8876.03,8725.32,8727.66,470391200
10-Dec-02,8756.10,8869.26,8753.50,8804.52,481268200
9-Dec-02,8836.68,8942.21,8798.56,8828.05,439849200
